"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","45","Elita","3/1/2020 - 3/31/2020, Every day, Daily Average",3323,2556,4319
"258","Haji Bunder Rd","46","Varsha","3/1/2020 - 3/31/2020, Every day, Daily Average",1438,1083,1908
"258","Haji Bunder Rd","47","Cheradevi Kaloni Gali","3/1/2020 - 3/31/2020, Every day, Daily Average",4889,4019,5946
"258","Haji Bunder Rd","48","200, Mount Mary","3/1/2020 - 3/31/2020, Every day, Daily Average",2096,1724,2548
"258","Haji Bunder Rd","49","Bama Society","3/1/2020 - 3/31/2020, Every day, Daily Average",3258,2613,4061
"258","Haji Bunder Rd","50","C-19, Mugalsan Rd, Sector 20C, Sector 20, Airoli","3/1/2020 - 3/31/2020, Every day, Daily Average",2673,2274,3140
"258","Haji Bunder Rd","53","A-1, Royal Palms Rd, Passpoli, Goregaon East","3/1/2020 - 3/31/2020, Every day, Daily Average",3216,2636,3922
"258","Haji Bunder Rd","54","Mumbai - Agra National Hwy","3/1/2020 - 3/31/2020, Every day, Daily Average",1667,1359,2044
"258","Haji Bunder Rd","55","Garden Rose Colony Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",1918,1441,2551
"258","Haji Bunder Rd","57","0, Sabarigiri","3/1/2020 - 3/31/2020, Every day, Daily Average",1497,1106,2025
"258","Haji Bunder Rd","58","Bhiwandi - Murbad Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",4608,3775,5623
"258","Haji Bunder Rd","59","WING-B","3/1/2020 - 3/31/2020, Every day, Daily Average",2701,2165,3369
"258","Haji Bunder Rd","60","Baul Pals Chawl","3/1/2020 - 3/31/2020, Every day, Daily Average",3035,2341,3934
"258","Haji Bunder Rd","61","G-4, Railway Station Rd, Sector 7, Sanpada","3/1/2020 - 3/31/2020, Every day, Daily Average",2323,1887,2858
"258","Haji Bunder Rd","62","Kalyan - Shilphata Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",4432,3440,5709
"258","Haji Bunder Rd","63","C-1","3/1/2020 - 3/31/2020, Every day, Daily Average",1514,1172,1955
"258","Haji Bunder Rd","67","Vijay Appartments III","3/1/2020 - 3/31/2020, Every day, Daily Average",3291,2623,4128
"258","Haji Bunder Rd","69","0, HP Nagar","3/1/2020 - 3/31/2020, Every day, Daily Average",589,459,754
"258","Haji Bunder Rd","70","Roob Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",1607,1285,2008
"258","Haji Bunder Rd","71","400, Sonawala Rd, Sonawala Industry Estate, Goregaon East","3/1/2020 - 3/31/2020, Every day, Daily Average",2924,2227,3838
"258","Haji Bunder Rd","73","0-C, Western Express Hwy, Salsette Parsi Colony, Parsi Colony, Jogeshwari East","3/1/2020 - 3/31/2020, Every day, Daily Average",2509,1933,3256
"258","Haji Bunder Rd","75","Linkway Estate","3/1/2020 - 3/31/2020, Every day, Daily Average",3732,2807,4960
"258","Haji Bunder Rd","76","Station Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3595,2892,4467
